model,n,mae,daily_peak_f1
t2_last_week_max,84,60.92857142857143,0.5142857142857142
t2_lgbm,85,49.006691354401696,0.3076923076923077
t2_recent_24h_max,85,47.71764705882353,0.7164179104477612
