fold,coefficient,ci_low,ci_high,n_boot,raw_hourly_production_unit_effect_per_15min,raw_hourly_production_unit_effect_ci_low,raw_hourly_production_unit_effect_ci_high,bootstrap_unit,ridge_alpha,fixed_preprocessing
0,0.09772808087777317,0.0627402002677357,0.13448723404967397,1000,0.024432020219443292,0.015685050066933926,0.03362180851241849,training_date,100.0,fold_training_temperature_median
1,0.08921479454256098,0.061438351932620906,0.11755179610994423,1000,0.022303698635640246,0.015359587983155227,0.02938794902748606,training_date,100.0,fold_training_temperature_median
2,0.08925492276234281,0.06464153254980144,0.11318506242599603,1000,0.022313730690585704,0.01616038313745036,0.02829626560649901,training_date,100.0,fold_training_temperature_median
