start,end,peak_time,hour,type,actual_max,baseline_at_max,residual_at_max,tau
2021-06-08 16:00:00,2021-06-08 16:00:00,2021-06-08 16:00:00,16,excess_residual,180.0,77.71807418362815,102.28192581637185,177.0
2021-06-09 09:30:00,2021-06-09 09:45:00,2021-06-09 09:30:00,9,excess_residual,179.0,80.12633249200775,98.87366750799225,177.0
2021-06-09 10:30:00,2021-06-09 10:45:00,2021-06-09 10:30:00,10,excess_residual,180.0,170.95902132146063,9.040978678539375,177.0
2021-06-09 11:45:00,2021-06-09 11:45:00,2021-06-09 11:45:00,11,excess_residual,178.0,65.58705380630391,112.41294619369609,177.0
2021-06-09 14:00:00,2021-06-09 14:00:00,2021-06-09 14:00:00,14,excess_residual,181.0,81.91387069325688,99.08612930674312,177.0
2021-06-14 08:45:00,2021-06-14 09:30:00,2021-06-14 09:00:00,9,excess_residual,204.0,81.05739766680206,122.94260233319794,177.0
2021-06-14 10:00:00,2021-06-14 10:00:00,2021-06-14 10:00:00,10,excess_residual,180.0,82.84014228598542,97.15985771401458,177.0
2021-06-14 10:30:00,2021-06-14 10:45:00,2021-06-14 10:30:00,10,excess_residual,180.0,83.87038429660106,96.12961570339894,177.0
2021-06-14 11:30:00,2021-06-14 11:45:00,2021-06-14 11:30:00,11,excess_residual,190.0,103.58468148555887,86.41531851444113,177.0
2021-06-14 13:30:00,2021-06-14 14:15:00,2021-06-14 13:45:00,13,excess_residual,192.0,149.84751862319308,42.15248137680692,177.0
2021-06-14 15:30:00,2021-06-14 16:15:00,2021-06-14 16:00:00,16,excess_residual,192.0,96.91226958358511,95.08773041641489,177.0
2021-06-14 18:00:00,2021-06-14 18:30:00,2021-06-14 18:15:00,18,excess_residual,182.0,97.79011866429622,84.20988133570378,177.0
2021-06-15 08:30:00,2021-06-15 09:30:00,2021-06-15 08:45:00,8,excess_residual,198.0,128.94927908436273,69.05072091563727,177.0
2021-06-15 10:00:00,2021-06-15 10:00:00,2021-06-15 10:00:00,10,excess_residual,188.0,117.20777449618912,70.79222550381088,177.0
2021-06-15 10:45:00,2021-06-15 10:45:00,2021-06-15 10:45:00,10,excess_residual,181.0,109.21228505214879,71.78771494785121,177.0
2021-06-15 11:30:00,2021-06-15 11:30:00,2021-06-15 11:30:00,11,excess_residual,180.0,114.53630106354748,65.46369893645252,177.0
2021-06-15 12:00:00,2021-06-15 12:00:00,2021-06-15 12:00:00,12,excess_residual,184.0,114.57918460114497,69.42081539885503,177.0
2021-06-15 14:15:00,2021-06-15 14:30:00,2021-06-15 14:15:00,14,excess_residual,182.0,105.23183040187655,76.76816959812345,177.0
2021-06-15 16:45:00,2021-06-15 16:45:00,2021-06-15 16:45:00,16,excess_residual,181.0,159.80717955494276,21.192820445057237,177.0
2021-06-16 08:30:00,2021-06-16 08:45:00,2021-06-16 08:30:00,8,excess_residual,185.0,111.90998062234652,73.09001937765348,177.0
2021-06-16 09:45:00,2021-06-16 10:00:00,2021-06-16 10:00:00,10,excess_residual,192.0,121.1901831306686,70.8098168693314,177.0
2021-06-16 10:30:00,2021-06-16 11:15:00,2021-06-16 10:45:00,10,excess_residual,193.0,108.31909822997685,84.68090177002315,177.0
2021-06-16 15:45:00,2021-06-16 15:45:00,2021-06-16 15:45:00,15,excess_residual,180.0,105.9727703656981,74.0272296343019,177.0
2021-06-17 08:15:00,2021-06-17 09:30:00,2021-06-17 08:45:00,8,excess_residual,197.0,113.58889414975572,83.41110585024428,177.0
2021-06-17 10:00:00,2021-06-17 10:00:00,2021-06-17 10:00:00,10,excess_residual,179.0,108.7744331236115,70.2255668763885,177.0
2021-06-17 11:15:00,2021-06-17 11:30:00,2021-06-17 11:30:00,11,excess_residual,190.0,163.47465717373422,26.525342826265785,177.0
2021-06-17 13:30:00,2021-06-17 14:00:00,2021-06-17 13:45:00,13,excess_residual,192.0,118.40160234805461,73.59839765194539,177.0
2021-06-17 14:30:00,2021-06-17 14:30:00,2021-06-17 14:30:00,14,excess_residual,179.0,94.59659059856392,84.40340940143608,177.0
2021-06-17 15:00:00,2021-06-17 15:00:00,2021-06-17 15:00:00,15,excess_residual,189.0,93.78860900134737,95.21139099865263,177.0
2021-06-17 15:30:00,2021-06-17 15:45:00,2021-06-17 15:30:00,15,excess_residual,179.0,98.30126200671529,80.69873799328471,177.0
2021-06-18 10:00:00,2021-06-18 10:00:00,2021-06-18 10:00:00,10,excess_residual,186.0,92.52159605793594,93.47840394206406,177.0
2021-06-18 10:30:00,2021-06-18 10:30:00,2021-06-18 10:30:00,10,excess_residual,179.0,82.19209529757224,96.80790470242776,177.0
2021-06-18 11:30:00,2021-06-18 11:45:00,2021-06-18 11:30:00,11,excess_residual,185.0,85.18044757811072,99.81955242188928,177.0
2021-06-18 13:30:00,2021-06-18 13:30:00,2021-06-18 13:30:00,13,excess_residual,180.0,107.12957397248871,72.87042602751129,177.0
2021-06-21 08:30:00,2021-06-21 10:00:00,2021-06-21 08:45:00,8,excess_residual,208.0,67.74539851584758,140.25460148415243,177.0
2021-06-21 10:30:00,2021-06-21 11:00:00,2021-06-21 10:30:00,10,excess_residual,202.0,82.42300037719839,119.57699962280161,177.0
2021-06-21 11:45:00,2021-06-21 12:00:00,2021-06-21 11:45:00,11,excess_residual,191.0,108.03548728647692,82.96451271352308,177.0
2021-06-21 13:15:00,2021-06-21 15:00:00,2021-06-21 14:45:00,14,excess_residual,201.0,103.33296860633129,97.66703139366871,177.0
2021-06-21 15:45:00,2021-06-21 15:45:00,2021-06-21 15:45:00,15,excess_residual,184.0,115.04495236582358,68.95504763417642,177.0
2021-06-22 09:00:00,2021-06-22 09:00:00,2021-06-22 09:00:00,9,excess_residual,178.0,95.17232504010167,82.82767495989833,177.0
2021-06-22 10:45:00,2021-06-22 11:00:00,2021-06-22 10:45:00,10,excess_residual,189.0,113.55181797480108,75.44818202519892,177.0
2021-06-22 11:45:00,2021-06-22 11:45:00,2021-06-22 11:45:00,11,excess_residual,180.0,119.74402405122498,60.25597594877502,177.0
2021-06-22 14:00:00,2021-06-22 14:00:00,2021-06-22 14:00:00,14,excess_residual,186.0,92.3630922291406,93.6369077708594,177.0
2021-06-24 08:30:00,2021-06-24 09:00:00,2021-06-24 08:30:00,8,excess_residual,188.0,80.90940009486918,107.09059990513082,177.0
2021-06-24 13:45:00,2021-06-24 14:00:00,2021-06-24 14:00:00,14,excess_residual,190.0,74.91724579849658,115.08275420150342,177.0
2021-06-24 16:00:00,2021-06-24 16:00:00,2021-06-24 16:00:00,16,excess_residual,180.0,105.34842495640251,74.65157504359749,177.0
2021-06-25 09:45:00,2021-06-25 09:45:00,2021-06-25 09:45:00,9,excess_residual,178.0,64.11415909350339,113.88584090649661,177.0
2021-06-25 10:45:00,2021-06-25 11:15:00,2021-06-25 11:15:00,11,excess_residual,184.0,79.6618875746082,104.3381124253918,177.0
2021-06-25 12:00:00,2021-06-25 12:00:00,2021-06-25 12:00:00,12,excess_residual,183.0,79.78425391085969,103.21574608914031,177.0
2021-06-25 13:15:00,2021-06-25 13:30:00,2021-06-25 13:15:00,13,excess_residual,185.0,75.59750513750109,109.40249486249891,177.0
2021-06-25 14:15:00,2021-06-25 14:15:00,2021-06-25 14:15:00,14,excess_residual,184.0,66.44190933791491,117.55809066208509,177.0
2021-06-25 15:00:00,2021-06-25 15:00:00,2021-06-25 15:00:00,15,excess_residual,178.0,65.27425991764302,112.72574008235698,177.0
2021-06-25 15:30:00,2021-06-25 16:00:00,2021-06-25 15:45:00,15,excess_residual,186.0,58.380361891676294,127.6196381083237,177.0
2021-06-25 18:00:00,2021-06-25 18:00:00,2021-06-25 18:00:00,18,excess_residual,180.0,64.43230623891385,115.56769376108615,177.0
2021-07-08 09:00:00,2021-07-08 09:00:00,2021-07-08 09:00:00,9,excess_residual,187.0,69.2151748788879,117.7848251211121,175.0
2021-07-08 09:30:00,2021-07-08 10:00:00,2021-07-08 09:30:00,9,excess_residual,186.0,62.91392245332089,123.0860775466791,175.0
2021-07-08 10:30:00,2021-07-08 12:00:00,2021-07-08 11:00:00,11,excess_residual,201.0,47.97866487915804,153.02133512084197,175.0
2021-07-08 13:30:00,2021-07-08 14:45:00,2021-07-08 13:45:00,13,excess_residual,201.0,107.10413999777569,93.89586000222431,175.0
2021-07-08 16:00:00,2021-07-08 16:45:00,2021-07-08 16:45:00,16,excess_residual,186.0,102.50857101473825,83.49142898526175,175.0
2021-07-09 08:45:00,2021-07-09 09:00:00,2021-07-09 08:45:00,8,excess_residual,188.0,74.82857743854423,113.17142256145577,175.0
2021-07-09 11:00:00,2021-07-09 11:00:00,2021-07-09 11:00:00,11,excess_residual,176.0,103.29911293117475,72.70088706882525,175.0
2021-07-09 11:45:00,2021-07-09 11:45:00,2021-07-09 11:45:00,11,excess_residual,176.0,79.51193160963037,96.48806839036963,175.0
2021-07-09 13:30:00,2021-07-09 13:45:00,2021-07-09 13:30:00,13,excess_residual,186.0,83.4332146655373,102.5667853344627,175.0
2021-07-09 14:30:00,2021-07-09 15:00:00,2021-07-09 15:00:00,15,excess_residual,192.0,116.1456889006061,75.8543110993939,175.0
2021-07-09 15:45:00,2021-07-09 16:15:00,2021-07-09 16:00:00,16,excess_residual,188.0,78.09115187860034,109.90884812139966,175.0
2021-07-12 08:30:00,2021-07-12 10:00:00,2021-07-12 08:45:00,8,excess_residual,198.0,58.71277180206076,139.28722819793924,175.0
2021-07-12 10:30:00,2021-07-12 12:00:00,2021-07-12 11:15:00,11,excess_residual,188.0,57.792135978374816,130.2078640216252,175.0
