horizon,fold,model,selected_model,attribution_role,feature,mae_increase,repeat_std,scored_rows
16,1,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,lag_4,0.0,0.0,1500
16,1,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,lag_5,0.0,0.0,1500
16,1,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,lag_6,0.0,0.0,1500
16,1,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,lag_7,-0.08299774039981796,0.030592043040549025,1500
16,1,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,lag_96,0.10146486872126796,0.012427498283213894,1500
16,1,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,lag_672,0.675564440214829,0.15902709826013983,1500
16,1,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,target_slot_1d_ago,0.23156621234908137,0.00909418611007282,1500
16,1,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,target_slot_7d_ago,25.382290624574306,0.3957361115404711,1500
16,1,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,recent_1_mean,0.0,0.0,1500
16,1,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,recent_1_max,0.0,0.0,1500
16,1,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,recent_1_std,0.0,0.0,1500
16,1,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,recent_4_mean,0.0,0.0,1500
16,1,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,recent_4_max,0.1476574757749365,0.016964326678721355,1500
16,1,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,recent_4_std,0.006617064118047485,0.0017485795497755175,1500
16,1,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,recent_16_mean,-0.08148780339833255,0.011491696275310706,1500
16,1,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,recent_16_max,0.6302233351383908,0.03107517616547799,1500
16,1,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,recent_16_std,0.1106774948924188,0.007635855720602259,1500
16,1,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,recent_96_mean,-0.23688002824978227,0.024324523623305637,1500
16,1,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,recent_96_max,2.044135556739709,0.14030716578362826,1500
16,1,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,recent_96_std,0.03765183205237932,0.011671209431990844,1500
16,1,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,recent_4_slope,0.002515279628955961,0.0014501455751205561,1500
16,1,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,peak_count_7d,0.02342018656619101,0.011535837251527774,1500
16,1,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,since_last_peak_intervals,1.2575494250856114,0.10034217848831326,1500
16,1,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,target_hour,1.4407067951679504,0.10537937042218193,1500
16,1,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,target_quarter,0.0,0.0,1500
16,1,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,target_weekday,0.6737804927720354,0.06965032625154638,1500
16,1,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,target_month,0.0,0.0,1500
16,1,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,production_completed_1h,0.049865402099856126,0.006633581969791589,1500
