horizon,fold,partition,feature,n,missing_n,missing_rate
1,0,fit,labor_day,5617,0,0.0
1,0,fit,production_completed_1h,5617,0,0.0
1,0,fit,production_completed_2h,5617,0,0.0
1,0,fit,production_completed_3h,5617,0,0.0
1,0,fit,production_previous_day_total,5617,0,0.0
1,0,fit,production_same_slot_7d_mean,5617,0,0.0
1,0,fit,cbl_mid_6_10,5617,0,0.0
1,0,fit,cbl_mid_6_10_adjusted,5617,0,0.0
1,0,stop,current,1405,0,0.0
1,0,stop,lag_1,1405,0,0.0
1,0,stop,lag_2,1405,0,0.0
1,0,stop,lag_3,1405,0,0.0
1,0,stop,lag_4,1405,0,0.0
1,0,stop,lag_5,1405,0,0.0
1,0,stop,lag_6,1405,0,0.0
1,0,stop,lag_7,1405,0,0.0
1,0,stop,lag_96,1405,0,0.0
1,0,stop,lag_672,1405,0,0.0
1,0,stop,target_slot_1d_ago,1405,0,0.0
1,0,stop,target_slot_7d_ago,1405,0,0.0
1,0,stop,recent_1_mean,1405,0,0.0
1,0,stop,recent_1_max,1405,0,0.0
1,0,stop,recent_1_std,1405,0,0.0
1,0,stop,recent_4_mean,1405,0,0.0
1,0,stop,recent_4_max,1405,0,0.0
1,0,stop,recent_4_std,1405,0,0.0
1,0,stop,recent_16_mean,1405,0,0.0
1,0,stop,recent_16_max,1405,0,0.0
1,0,stop,recent_16_std,1405,0,0.0
1,0,stop,recent_96_mean,1405,0,0.0
1,0,stop,recent_96_max,1405,0,0.0
1,0,stop,recent_96_std,1405,0,0.0
1,0,stop,recent_4_slope,1405,0,0.0
1,0,stop,peak_count_7d,1405,0,0.0
1,0,stop,since_last_peak_intervals,1405,0,0.0
1,0,stop,target_hour,1405,0,0.0
1,0,stop,target_quarter,1405,0,0.0
1,0,stop,target_weekday,1405,0,0.0
1,0,stop,target_month,1405,0,0.0
1,0,stop,is_offday,1405,0,0.0
1,0,stop,pre_holiday,1405,0,0.0
1,0,stop,post_holiday,1405,0,0.0
1,0,stop,bridge_day,1405,0,0.0
1,0,stop,labor_day,1405,0,0.0
