horizon,model,reference_only,selection_used,metric_role,n,peak_n,union_n,nonpeak_n,target_days,bootstrap_n,episode_ci_method,peak_mae_union,peak_mae_union_ci_low,peak_mae_union_ci_high,peak_mae_union_valid_bootstrap_n,peak_bias,peak_bias_ci_low,peak_bias_ci_high,peak_bias_valid_bootstrap_n,overpredict_rate,overpredict_rate_ci_low,overpredict_rate_ci_high,overpredict_rate_valid_bootstrap_n,peak_mae,peak_mae_ci_low,peak_mae_ci_high,peak_mae_valid_bootstrap_n,position_fp,position_fp_ci_low,position_fp_ci_high,position_fp_valid_bootstrap_n,episode_f1,episode_f1_ci_low,episode_f1_ci_high,episode_f1_valid_bootstrap_n
1,c1_mid_6_10,False,False,"보조 지표, 선정에 미사용",7564,416,685,7148,85,1000,original_matching_event_start_date_blocks,63.01727493917275,37.28941673003621,88.61661838790931,1000,-13.584935897435903,-17.183530701754382,-10.9714227945751,1000,0.0376329043088976,0.019809138853642553,0.0559483322014547,1000,14.27964743589744,11.950037674110279,17.72479879625945,1000,1545.0,1244.975,1855.1999999999998,1000,0.41509433962264153,0.31452996100486275,0.5000272331154684,1000
1,c1a_mid_6_10_adjusted,False,False,"보조 지표, 선정에 미사용",7564,416,615,7148,85,1000,original_matching_event_start_date_blocks,16.89485094850949,14.409851219023187,20.23996108013824,1000,-9.97295673076923,-16.53009429357164,-4.817440717159534,1000,0.02783995523223279,0.020574815645570364,0.03576613361373427,1000,15.708733974358971,12.347556936319029,20.287163488230064,1000,1002.0,790.95,1219.05,1000,0.5063938618925832,0.40546904803190564,0.5853868797308662,1000
1,c2_max_4_5,False,False,"보조 지표, 선정에 미사용",7564,416,824,7148,85,1000,original_matching_event_start_date_blocks,64.68598300970874,38.53040155887334,90.26122393942042,1000,-9.375,-15.711770833333333,-5.4791281397308875,1000,0.05707890318970341,0.03717616797014598,0.07967734877510764,1000,11.834134615384615,8.563499387600384,17.58424706624028,1000,1733.0,1412.0,2058.025,1000,0.3712871287128713,0.2787802071346375,0.4541335431751284,1000
1,c2a_max_4_5_adjusted,False,False,"보조 지표, 선정에 미사용",7564,416,652,7148,85,1000,original_matching_event_start_date_blocks,17.414909253578724,14.796844844393684,21.06653347699702,1000,-6.813852163461548,-13.3378974795476,-1.5665383302731304,1000,0.03301622831561276,0.024356017959302076,0.0421966210223308,1000,14.660106169871794,11.206890778792644,19.481261485566947,1000,974.0,802.975,1147.05,1000,0.49214659685863876,0.40220784071716253,0.5587579167516162,1000
1,c3_holiday_hybrid,False,False,"보조 지표, 선정에 미사용",7564,416,539,7148,85,1000,original_matching_event_start_date_blocks,36.91187384044526,14.974058270451547,60.473228729141006,1000,-14.664262820512825,-19.455205773424254,-11.347724787112579,1000,0.017207610520425295,0.006789255266064359,0.029782047135570235,1000,15.358974358974363,12.351092136597805,19.90691348287005,1000,993.0,708.925,1291.05,1000,0.49162011173184356,0.39139163588704873,0.5782703152445225,1000
1,c3_holiday_mid_4_6,False,False,"보조 지표, 선정에 미사용",7564,416,539,7148,85,1000,original_matching_event_start_date_blocks,36.91187384044526,14.974058270451547,60.473228729141006,1000,-14.664262820512825,-19.455205773424254,-11.347724787112579,1000,0.017207610520425295,0.006789255266064359,0.029782047135570235,1000,15.358974358974363,12.351092136597805,19.90691348287005,1000,993.0,708.925,1291.05,1000,0.49162011173184356,0.39139163588704873,0.5782703152445225,1000
1,lgbm,False,False,"보조 지표, 선정에 미사용",7564,416,474,7148,85,1000,original_matching_event_start_date_blocks,10.026176960817965,8.20833254595142,11.868526517774598,1000,-8.864901430468255,-10.959104506011487,-6.656228821819095,1000,0.008114157806379406,0.005093972623250148,0.011879118752808468,1000,9.836706454730413,7.765508095551251,11.672156293621205,1000,607.0,442.85,783.05,1000,0.6382978723404256,0.5433827493261455,0.7165316225275823,1000
1,lgbm_no_holiday,False,False,"보조 지표, 선정에 미사용",7564,416,473,7148,85,1000,original_matching_event_start_date_blocks,10.372678163210951,8.945246528893605,11.780152054910817,1000,-9.204702064230746,-10.78129552918315,-7.5366311683115175,1000,0.007974258533855624,0.0049184316479368405,0.011459524045134941,1000,10.191623845309623,8.714688905352844,11.570865832476619,1000,659.0,475.975,848.025,1000,0.6253369272237197,0.5302454545454546,0.6985934272300469,1000
1,lgbm_no_holiday_weight_2,False,False,"보조 지표, 선정에 미사용",7564,416,469,7148,85,1000,original_matching_event_start_date_blocks,9.880866109985984,7.952675858825042,11.762519589726029,1000,-8.74278242280577,-10.899887866163876,-6.434251906905356,1000,0.007414661443760492,0.004430139458018663,0.010779203810316527,1000,9.624212836791186,7.437822964134017,11.554358176655729,1000,787.0,522.9,1074.025,1000,0.6167146974063401,0.5210614580250568,0.6945453513452151,1000
1,lgbm_no_holiday_weight_4,False,False,"보조 지표, 선정에 미사용",7564,416,467,7148,85,1000,original_matching_event_start_date_blocks,9.33367757723648,7.046042335162737,11.570027503735977,1000,-8.423189059012902,-10.90281203088002,-5.697844321547909,1000,0.007134862898712927,0.004561576864484861,0.009994756932364426,1000,9.112802084103519,6.493002931426453,11.432109822574816,1000,486.0,326.925,657.025,1000,0.6408839779005525,0.5480380066476399,0.7176670474014849,1000
