horizon,minutes,model,selected,n,peak_n,mae,peak_mae,peak_mae_ci_low,peak_mae_ci_high,episode_f1,tp,fp,fn
1,15,c1_mid_6_10,False,7564,416,43.158646218931786,14.27964743589744,11.891425961585941,17.78476098766654,0.41509433962264153,88,192,56
1,15,c1a_mid_6_10_adjusted,False,7564,416,13.16930893413244,15.708733974358971,12.507597434897304,20.329404766890633,0.5063938618925832,99,148,45
1,15,c2_max_4_5,False,7564,416,41.40187070333157,11.834134615384615,8.756945671195787,17.092069042653886,0.3712871287128713,75,185,69
1,15,c2a_max_4_5_adjusted,False,7564,416,13.011441256830599,14.660106169871792,11.473106538901867,19.10934594479952,0.49214659685863876,94,144,50
1,15,c3_holiday_hybrid,False,7564,416,20.12721443680592,15.358974358974363,12.47451668577606,20.32026171795408,0.49162011173184356,88,126,56
1,15,c3_holiday_mid_4_6,False,7564,416,20.12721443680592,15.358974358974363,12.47451668577606,20.32026171795408,0.49162011173184356,88,126,56
1,15,lgbm,False,7564,416,4.584711233639025,9.836706454730413,7.576357859161713,11.6573909820117,0.6382978723404256,120,112,24
1,15,lgbm_no_holiday,False,7564,416,4.842185123917904,10.191623845309623,8.533982882845377,11.55746962582412,0.6253369272237197,116,111,28
1,15,lgbm_no_holiday_weight_2,False,7564,416,4.653688717411263,9.624212836791187,7.133162953901744,11.509184467229435,0.6167146974063401,107,96,37
1,15,lgbm_no_holiday_weight_4,False,7564,416,4.471692506769284,9.11280208410352,6.237309855158646,11.334703321500847,0.6408839779005525,116,102,28
1,15,lgbm_quantile_a,False,7564,416,4.328381198495037,9.758962211987583,8.14976291705789,11.092903169717884,0.6624203821656051,104,66,40
1,15,lgbm_quantile_b,False,7564,416,4.328381198495037,9.758962211987583,8.14976291705789,11.092903169717884,0.6481481481481481,105,75,39
1,15,lgbm_quantile_raw,False,7564,416,4.328381198495037,9.758962211987583,8.14976291705789,11.092903169717884,0.6878980891719745,108,62,36
1,15,lgbm_weight_2,False,7564,416,4.608249488154808,9.32685597296205,6.870042706760975,11.261116251360955,0.6086956521739131,105,96,39
1,15,lgbm_weight_4,False,7564,416,4.471576002492837,9.14243272753912,6.320517299547252,11.358036114779118,0.6483516483516484,118,102,26
1,15,p1_latest,True,7564,416,7.792041248016922,11.245192307692308,10.408278296723346,12.119019962353875,0.5268542199488491,103,144,41
1,15,p2_hour_slot,False,7564,416,17.445663670015865,39.60336538461539,35.08311781117349,45.41262494320763,0.3230769230769231,63,183,81
1,15,p3_recent_mean,False,7564,416,11.230103120042306,21.13221153846154,19.22312863222535,23.594295597409964,0.4785714285714286,67,69,77
1,15,s1_day,False,7564,416,34.86290322580645,55.3125,29.15042940414508,87.21782383556577,0.361323155216285,71,178,73
1,15,s2_week,False,7564,416,19.43072448439979,18.764423076923077,14.111670383887537,26.00938628444726,0.3393939393939394,56,130,88
1,15,s3_day_week_mean,False,7564,416,25.80744315177155,35.45673076923077,22.313886488782146,51.972320868786376,0.32947976878612717,57,145,87
4,60,c1_mid_6_10,False,7551,425,43.21895554672671,14.228627450980396,12.01796228066091,17.549848597975778,0.4168618266978923,89,190,59
4,60,c1a_mid_6_10_adjusted,False,7551,425,16.345088582821997,19.03166666666667,14.48304802434185,25.433738666118497,0.5039787798408488,95,134,53
4,60,c2_max_4_5,False,7551,425,41.48218778969673,11.770588235294118,8.715552052029263,17.281857040229884,0.3645083932853717,76,193,72
4,60,c2a_max_4_5_adjusted,False,7551,425,16.005493201783427,18.25612745098039,13.742388825522738,24.39369008699377,0.49743589743589745,97,145,51
4,60,c3_holiday_hybrid,False,7551,425,20.137873570829473,15.28509803921569,12.370346684585764,19.83100973390651,0.4876712328767123,89,128,59
4,60,c3_holiday_mid_4_6,False,7551,425,20.137873570829473,15.28509803921569,12.370346684585764,19.83100973390651,0.4876712328767123,89,128,59
4,60,lgbm,False,7551,425,8.587085443980703,18.584690060007354,15.822900428753277,21.64366900099604,0.5722222222222222,103,109,45
4,60,lgbm_no_holiday,False,7551,425,8.668338085111419,19.1784285243709,16.496860372797926,22.245622743202365,0.5344827586206896,93,107,55
4,60,lgbm_no_holiday_weight_2,True,7551,425,8.184787134927438,14.44309769830177,12.226834277667333,17.22949741707427,0.5885885885885885,98,87,50
4,60,lgbm_no_holiday_weight_4,False,7551,425,8.777944436299654,16.443907229175863,12.773338954315733,19.984138070077588,0.5777777777777777,104,108,44
4,60,lgbm_quantile_a,False,7551,425,7.236959906738231,17.963138863295008,15.649374021440009,20.955563382543737,0.555256064690027,103,120,45
4,60,lgbm_quantile_b,False,7551,425,7.236959906738231,17.963138863295008,15.649374021440009,20.955563382543737,0.6225165562913907,94,60,54
4,60,lgbm_quantile_raw,False,7551,425,7.236959906738231,17.963138863295008,15.649374021440009,20.955563382543737,0.5994236311239193,104,95,44
4,60,lgbm_weight_2,False,7551,425,8.807566943830256,17.396810232939078,14.056072614387856,20.887124372045054,0.5761772853185596,104,109,44
4,60,lgbm_weight_4,False,7551,425,8.854755495878473,16.580573554039834,13.06280255179381,20.155280697028775,0.5760869565217391,106,114,42
4,60,p1_latest,False,7551,425,16.264733147927426,34.258823529411764,30.30626627949238,39.553520863386225,0.3641160949868074,69,162,79
4,60,p2_hour_slot,False,7551,425,18.869818567077207,46.23294117647059,38.93844422473598,56.02472329217175,0.3655913978494624,68,156,80
4,60,p3_recent_mean,False,7551,425,16.41272679115349,38.54470588235294,33.68120810841206,45.34606009130669,0.35494880546075086,52,93,96
4,60,s1_day,False,7551,425,34.90981326976559,55.39058823529412,27.054560696382605,87.59678662330316,0.37467018469656993,71,160,77
4,60,s2_week,False,7551,425,19.459409349755,18.985882352941175,14.195252353150114,26.96815039266226,0.3323262839879154,55,128,93
4,60,s3_day_week_mean,False,7551,425,25.843729307376506,35.628235294117644,21.02243214193453,52.610319601738865,0.3654485049833887,55,98,93
16,240,c1_mid_6_10,False,7498,425,43.723281764025955,14.228627450980396,12.01796228066091,17.549848597975778,0.4158878504672897,89,191,59
16,240,c1a_mid_6_10_adjusted,False,7498,425,24.673322145164637,25.221928104575166,17.675878858024692,34.70728415120629,0.35629453681710216,75,198,73
16,240,c2_max_4_5,False,7498,425,41.96709122432649,11.770588235294118,8.715552052029263,17.281857040229884,0.3546099290780142,75,200,73
16,240,c2a_max_4_5_adjusted,False,7498,425,23.62453043033698,25.207990196078434,18.043280098280096,34.39824395140599,0.366412213740458,72,173,76
16,240,c3_holiday_hybrid,True,7498,425,20.335911798701876,15.28509803921569,12.370346684585764,19.83100973390651,0.4958217270194986,89,122,59
16,240,c3_holiday_mid_4_6,False,7498,425,20.335911798701876,15.28509803921569,12.370346684585764,19.83100973390651,0.4958217270194986,89,122,59
16,240,lgbm,False,7498,425,15.958059757417859,30.94810241885961,26.217419186466422,37.966927578303576,0.5132275132275133,97,133,51
16,240,lgbm_no_holiday,False,7498,425,16.869477110875536,38.759444655699625,29.048960716672774,49.50049854457665,0.44692737430167595,80,130,68
16,240,lgbm_no_holiday_weight_2,False,7498,425,16.83994200514034,33.751685578630855,27.067571672163727,41.72208285889968,0.46437994722955145,88,143,60
16,240,lgbm_no_holiday_weight_4,False,7498,425,17.850562004986298,33.62920511646994,24.197789730479048,44.10764293840894,0.4956772334293948,86,113,62
16,240,lgbm_quantile_a,False,7498,425,11.731244499145655,26.721447617042447,21.338434291244784,35.20891420537994,0.5026178010471204,96,138,52
16,240,lgbm_quantile_b,False,7498,425,11.731244499145655,26.721447617042447,21.338434291244784,35.20891420537994,0.5168539325842697,92,116,56
16,240,lgbm_quantile_raw,False,7498,425,11.731244499145655,26.721447617042447,21.338434291244784,35.20891420537994,0.5112359550561798,91,117,57
16,240,lgbm_weight_2,False,7498,425,16.63300652270917,31.35731021519075,25.468511820260822,38.472970597893735,0.46437994722955145,88,143,60
16,240,lgbm_weight_4,False,7498,425,16.668105152710798,27.957220959344042,20.217832537066116,37.074079222246795,0.48066298342541436,87,127,61
16,240,p1_latest,False,7498,425,26.464790610829553,66.40235294117647,56.49455555555556,78.36290524212401,0.23008849557522124,52,252,96
16,240,p2_hour_slot,False,7498,425,25.917844758602293,67.54352941176471,57.28152469135803,79.93376930418185,0.2403846153846154,50,218,98
16,240,p3_recent_mean,False,7498,425,24.715757535342757,65.92235294117647,55.497981418385564,78.28117284721876,0.2525597269624573,37,108,111
16,240,s1_day,False,7498,425,35.19285142704721,55.39058823529412,27.054560696382605,87.59678662330316,0.37305699481865284,72,166,76
16,240,s2_week,False,7498,425,19.57415310749533,18.985882352941175,14.195252353150114,26.96815039266226,0.32934131736526945,55,131,93
16,240,s3_day_week_mean,False,7498,425,26.037276607095226,35.628235294117644,21.02243214193453,52.610319601738865,0.37037037037037035,55,94,93
96,1440,c1_mid_6_10,False,7155,369,45.62802236198463,15.517615176151766,12.931948260073263,19.39262449186992,0.3702127659574468,87,250,46
96,1440,c1a_mid_6_10_adjusted,False,7155,369,40.77332867458654,56.22700240891298,30.37652875088465,84.84210086453875,0.31955922865013775,58,172,75
96,1440,c2_max_4_5,False,7155,369,44.54049615653389,12.987804878048781,9.376348486013606,20.059014431428132,0.36363636363636365,78,218,55
96,1440,c2a_max_4_5_adjusted,False,7155,369,40.68982354996506,54.59332655826558,29.265813366349754,82.55130209562138,0.29721362229102166,48,142,85
96,1440,c3_holiday_hybrid,True,7155,369,21.394665734917304,16.74254742547426,13.5489969294048,21.781270202020202,0.46153846153846156,78,127,55
96,1440,c3_holiday_mid_4_6,False,7155,369,21.394665734917304,16.74254742547426,13.5489969294048,21.781270202020202,0.46153846153846156,78,127,55
96,1440,lgbm,False,7155,369,32.37440375180768,42.04470761845979,32.939333288801855,50.10800942865463,0.3333333333333333,50,117,83
96,1440,lgbm_no_holiday,False,7155,369,31.207800839994366,41.720845381150646,33.36432696021003,49.58383736066573,0.22304832713754646,30,106,103
96,1440,lgbm_no_holiday_weight_2,False,7155,369,31.18034934296078,39.624627528927014,31.295925329172814,48.25523243448404,0.36764705882352944,50,89,83
96,1440,lgbm_no_holiday_weight_4,False,7155,369,30.20116504644085,38.29987137409985,29.36919270065407,47.737071079357676,0.3391003460207612,49,107,84
96,1440,lgbm_quantile_a,False,7155,369,24.921109383698514,31.692509816998705,25.002932684939836,39.86211070804521,0.42857142857142855,57,76,76
