fold,model,iteration,stop_l1,best_iteration
0,original_full,1,49.25234185048683,598
0,original_full,2,47.114373402860714,598
0,original_full,3,45.69403353598621,598
0,original_full,4,44.327403691584934,598
0,original_full,5,42.50271415558833,598
0,original_full,6,41.2532875615006,598
0,original_full,7,40.09550585077415,598
0,original_full,8,38.553204138858966,598
0,original_full,9,37.07892251827222,598
0,original_full,10,36.117250363281876,598
0,original_full,11,35.15674150741682,598
0,original_full,12,33.892629429778715,598
0,original_full,13,33.065904635582314,598
0,original_full,14,32.02949916026416,598
0,original_full,15,31.355952334534706,598
0,original_full,16,30.582141298157914,598
0,original_full,17,29.722797107660714,598
0,original_full,18,28.775162899722805,598
0,original_full,19,28.187329784093876,598
0,original_full,20,27.364165590380594,598
0,original_full,21,26.588608150868787,598
0,original_full,22,26.01669371422113,598
0,original_full,23,25.318645630614814,598
0,original_full,24,24.78488553626116,598
0,original_full,25,24.18549347668547,598
0,original_full,26,23.81627902071565,598
0,original_full,27,23.373966581480065,598
0,original_full,28,22.99131407413282,598
0,original_full,29,22.617628163914738,598
0,original_full,30,22.31845595586499,598
0,original_full,31,21.884037924755205,598
0,original_full,32,21.485582061937674,598
0,original_full,33,21.334059907696645,598
0,original_full,34,21.079924544450893,598
0,original_full,35,20.829561717040995,598
0,original_full,36,20.540513136996307,598
0,original_full,37,20.27369355146296,598
0,original_full,38,20.02319062625757,598
0,original_full,39,19.77477323925254,598
0,original_full,40,19.58342161726277,598
0,original_full,41,19.401283123275334,598
0,original_full,42,19.14835425302256,598
0,original_full,43,18.99322830454321,598
0,original_full,44,18.788263123243127,598
0,original_full,45,18.60286057392682,598
0,original_full,46,18.382450864777024,598
0,original_full,47,18.235715376658142,598
0,original_full,48,18.13913060904274,598
0,original_full,49,18.032917936147424,598
0,original_full,50,17.85229403561973,598
0,original_full,51,17.731184755841717,598
0,original_full,52,17.634786186064275,598
0,original_full,53,17.521701914482595,598
0,original_full,54,17.365782088456783,598
0,original_full,55,17.303034388737046,598
0,original_full,56,17.222543087292546,598
0,original_full,57,17.184736356924127,598
0,original_full,58,17.09111751706703,598
0,original_full,59,17.072277079168046,598
0,original_full,60,17.03077343163206,598
0,original_full,61,16.983129773028654,598
0,original_full,62,16.921800081725333,598
0,original_full,63,16.94842073172829,598
0,original_full,64,16.9178716437995,598
0,original_full,65,16.972101325673275,598
0,original_full,66,16.871064980696502,598
0,original_full,67,16.88508879351062,598
0,original_full,68,16.82210627694909,598
0,original_full,69,16.768947327346137,598
0,original_full,70,16.787403329441716,598
0,original_full,71,16.900907147078875,598
0,original_full,72,16.828719332420686,598
0,original_full,73,16.774797359234924,598
0,original_full,74,16.740130106033032,598
0,original_full,75,16.703975069823525,598
0,original_full,76,16.79004849144293,598
0,original_full,77,16.770655804514668,598
0,original_full,78,16.723844305138513,598
0,original_full,79,16.68855745440382,598
0,original_full,80,16.6796452662898,598
0,original_full,81,16.74997538117242,598
0,original_full,82,16.72675843192591,598
0,original_full,83,16.77096683339776,598
0,original_full,84,16.740397025314923,598
0,original_full,85,16.674590328813046,598
0,original_full,86,16.634174996793618,598
0,original_full,87,16.602490295835477,598
0,original_full,88,16.698731701060606,598
0,original_full,89,16.69308699644855,598
0,original_full,90,16.682292225355784,598
0,original_full,91,16.67133256806114,598
0,original_full,92,16.759133011184964,598
0,original_full,93,16.770635446751232,598
0,original_full,94,16.73195568472447,598
0,original_full,95,16.707712327125765,598
0,original_full,96,16.683568901667112,598
0,original_full,97,16.67005216530568,598
