model,fold,top_n,n,top_q95_coverage,tau,top_edge,ci_low,ci_high,target_days
lgbm_quantile_a,0,172,2746,0.9941860465116279,176.5,166.00005265209302,0.9806435953648606,1.0,19
lgbm_quantile_a,1,477,2746,0.8364779874213837,177.0,163.29519485889054,0.8003931451612903,0.8742003747994982,20
lgbm_quantile_a,2,185,2059,0.5891891891891892,175.0,171.27844518259212,0.45541261694976837,0.7688211323735324,9
lgbm_quantile_b,0,172,2746,0.9941860465116279,176.5,166.00005265209302,0.9806435953648606,1.0,19
lgbm_quantile_b,1,477,2746,0.9622641509433962,177.0,163.29519485889054,0.9437374235723222,0.9811760589480254,20
lgbm_quantile_b,2,185,2059,0.7837837837837838,175.0,171.27844518259212,0.6967948399284152,0.9053433144037171,9
lgbm_quantile_raw,0,172,2746,0.9709302325581395,176.5,166.00005265209302,0.9377687011319874,1.0,19
lgbm_quantile_raw,1,477,2746,0.8742138364779874,177.0,163.29519485889054,0.8378895326001571,0.9117866801893171,20
lgbm_quantile_raw,2,185,2059,0.4702702702702703,175.0,171.27844518259212,0.3551158489096573,0.6265981948917684,9
