model_id,n,overall_mae,peak_mae
lgbm,7155,32.37440375180768,42.04470761845979
lgbm_no_holiday,7155,31.207800839994366,41.720845381150646
lgbm_no_holiday_weight_2,7155,31.18034934296078,39.62462752892701
lgbm_no_holiday_weight_4,7155,30.20116504644085,38.29987137409986
lgbm_weight_2,7155,31.308365478346893,38.720882835938035
lgbm_weight_4,7155,30.016530583165025,37.11425595882076
