slot,eligible_dates,events,rate,selected,fold,horizon
0,48,0,0.0,False,0,16
1,48,0,0.0,False,0,16
2,48,0,0.0,False,0,16
3,48,0,0.0,False,0,16
4,48,0,0.0,False,0,16
5,48,0,0.0,False,0,16
6,48,0,0.0,False,0,16
7,48,0,0.0,False,0,16
8,48,0,0.0,False,0,16
9,48,0,0.0,False,0,16
10,48,0,0.0,False,0,16
11,48,0,0.0,False,0,16
12,48,0,0.0,False,0,16
13,48,0,0.0,False,0,16
14,48,0,0.0,False,0,16
15,48,0,0.0,False,0,16
16,48,0,0.0,False,0,16
17,48,0,0.0,False,0,16
18,48,0,0.0,False,0,16
19,48,0,0.0,False,0,16
20,48,0,0.0,False,0,16
21,48,0,0.0,False,0,16
22,47,0,0.0,False,0,16
23,47,0,0.0,False,0,16
24,47,0,0.0,False,0,16
25,47,0,0.0,False,0,16
26,47,0,0.0,False,0,16
27,47,0,0.0,False,0,16
28,47,0,0.0,False,0,16
29,47,0,0.0,False,0,16
30,47,0,0.0,False,0,16
31,47,0,0.0,False,0,16
32,47,0,0.0,False,0,16
33,47,0,0.0,False,0,16
34,47,0,0.0,False,0,16
35,47,0,0.0,False,0,16
36,47,0,0.0,False,0,16
37,47,0,0.0,False,0,16
38,47,0,0.0,False,0,16
39,47,0,0.0,False,0,16
40,47,0,0.0,False,0,16
41,47,0,0.0,False,0,16
42,47,0,0.0,False,0,16
43,47,0,0.0,False,0,16
44,47,0,0.0,False,0,16
45,47,0,0.0,False,0,16
46,47,0,0.0,False,0,16
47,47,0,0.0,False,0,16
48,47,0,0.0,False,0,16
49,47,0,0.0,False,0,16
50,47,0,0.0,False,0,16
51,47,0,0.0,False,0,16
52,47,0,0.0,False,0,16
53,47,0,0.0,False,0,16
54,47,0,0.0,False,0,16
55,47,0,0.0,False,0,16
56,47,0,0.0,False,0,16
57,47,0,0.0,False,0,16
58,47,0,0.0,False,0,16
59,47,0,0.0,False,0,16
60,47,0,0.0,False,0,16
61,47,0,0.0,False,0,16
62,47,0,0.0,False,0,16
63,47,0,0.0,False,0,16
64,47,0,0.0,False,0,16
65,47,0,0.0,False,0,16
66,47,0,0.0,False,0,16
67,47,0,0.0,False,0,16
68,47,0,0.0,False,0,16
69,47,0,0.0,False,0,16
70,47,0,0.0,False,0,16
71,47,0,0.0,False,0,16
72,47,0,0.0,False,0,16
73,47,0,0.0,False,0,16
74,47,0,0.0,False,0,16
75,47,0,0.0,False,0,16
76,47,0,0.0,False,0,16
77,47,0,0.0,False,0,16
78,47,0,0.0,False,0,16
79,47,0,0.0,False,0,16
80,47,0,0.0,False,0,16
81,47,0,0.0,False,0,16
82,47,0,0.0,False,0,16
83,47,0,0.0,False,0,16
84,47,0,0.0,False,0,16
85,47,0,0.0,False,0,16
86,47,0,0.0,False,0,16
87,47,0,0.0,False,0,16
88,47,0,0.0,False,0,16
89,47,0,0.0,False,0,16
90,47,0,0.0,False,0,16
