fold,start,date,minute,is_offday,near_restart,null_probability,effect
1,2021-06-21 11:45:00,2021-06-21,705,False,False,0.0,0.0
1,2021-06-21 13:15:00,2021-06-21,795,False,False,0.0,0.0
1,2021-06-21 15:45:00,2021-06-21,945,False,False,0.0,0.0
1,2021-06-22 09:00:00,2021-06-22,540,False,False,0.0,0.0
1,2021-06-22 10:45:00,2021-06-22,645,False,False,0.0,0.0
1,2021-06-22 11:45:00,2021-06-22,705,False,False,0.0,0.0
1,2021-06-22 14:00:00,2021-06-22,840,False,False,0.0,0.0
1,2021-06-24 08:30:00,2021-06-24,510,False,False,0.09523809523809523,-0.09523809523809523
1,2021-06-24 13:45:00,2021-06-24,825,False,False,0.0,0.0
1,2021-06-24 16:00:00,2021-06-24,960,False,False,0.0,0.0
1,2021-06-25 09:45:00,2021-06-25,585,False,False,0.0,0.0
1,2021-06-25 10:45:00,2021-06-25,645,False,False,0.0,0.0
1,2021-06-25 12:00:00,2021-06-25,720,False,False,0.0,0.0
1,2021-06-25 13:15:00,2021-06-25,795,False,False,0.0,0.0
1,2021-06-25 14:15:00,2021-06-25,855,False,False,0.0,0.0
1,2021-06-25 15:00:00,2021-06-25,900,False,False,0.0,0.0
1,2021-06-25 15:30:00,2021-06-25,930,False,False,0.0,0.0
1,2021-06-25 18:00:00,2021-06-25,1080,False,False,0.0,0.0
2,2021-07-08 09:00:00,2021-07-08,540,False,False,0.0,0.0
2,2021-07-08 09:30:00,2021-07-08,570,False,False,0.0,0.0
2,2021-07-08 10:30:00,2021-07-08,630,False,False,0.0,0.0
2,2021-07-08 13:30:00,2021-07-08,810,False,False,0.0,0.0
2,2021-07-08 16:00:00,2021-07-08,960,False,False,0.0,0.0
2,2021-07-09 08:45:00,2021-07-09,525,False,False,0.0,0.0
2,2021-07-09 11:00:00,2021-07-09,660,False,False,0.0,0.0
2,2021-07-09 11:45:00,2021-07-09,705,False,False,0.0,0.0
2,2021-07-09 13:30:00,2021-07-09,810,False,False,0.0,0.0
2,2021-07-09 14:30:00,2021-07-09,870,False,False,0.0,0.0
2,2021-07-09 15:45:00,2021-07-09,945,False,False,0.0,0.0
2,2021-07-12 08:30:00,2021-07-12,510,False,True,0.11764705882352941,0.8823529411764706
2,2021-07-12 10:30:00,2021-07-12,630,False,False,0.0,0.0
2,2021-07-12 13:45:00,2021-07-12,825,False,False,0.0,0.0
2,2021-07-12 14:15:00,2021-07-12,855,False,False,0.0,0.0
2,2021-07-12 15:45:00,2021-07-12,945,False,False,0.0,0.0
2,2021-07-12 16:45:00,2021-07-12,1005,False,False,0.0,0.0
2,2021-07-23 08:30:00,2021-07-23,510,False,False,0.11764705882352941,-0.11764705882352941
2,2021-07-23 10:30:00,2021-07-23,630,False,False,0.0,0.0
2,2021-07-23 13:30:00,2021-07-23,810,False,False,0.0,0.0
2,2021-07-23 15:45:00,2021-07-23,945,False,False,0.0,0.0
2,2021-07-23 18:00:00,2021-07-23,1080,False,False,0.0,0.0
2,2021-07-23 19:00:00,2021-07-23,1140,False,False,0.0,0.0
2,2021-07-26 08:15:00,2021-07-26,495,False,True,0.17647058823529413,0.8235294117647058
2,2021-07-26 10:30:00,2021-07-26,630,False,False,0.0,0.0
2,2021-07-26 13:30:00,2021-07-26,810,False,False,0.0,0.0
2,2021-07-26 14:15:00,2021-07-26,855,False,False,0.0,0.0
2,2021-07-26 15:45:00,2021-07-26,945,False,False,0.0,0.0
2,2021-07-26 16:45:00,2021-07-26,1005,False,False,0.0,0.0
2,2021-07-26 18:15:00,2021-07-26,1095,False,False,0.0,0.0
2,2021-07-26 19:30:00,2021-07-26,1170,False,False,0.0,0.0
2,2021-07-27 08:15:00,2021-07-27,495,False,False,0.17647058823529413,-0.17647058823529413
2,2021-07-27 09:45:00,2021-07-27,585,False,False,0.0,0.0
2,2021-07-27 10:30:00,2021-07-27,630,False,False,0.0,0.0
2,2021-07-27 13:30:00,2021-07-27,810,False,False,0.0,0.0
2,2021-07-27 15:45:00,2021-07-27,945,False,False,0.0,0.0
2,2021-07-27 18:00:00,2021-07-27,1080,False,False,0.0,0.0
2,2021-07-27 19:45:00,2021-07-27,1185,False,False,0.0,0.0
2,2021-07-28 08:15:00,2021-07-28,495,False,False,0.17647058823529413,-0.17647058823529413
2,2021-07-28 10:30:00,2021-07-28,630,False,False,0.0,0.0
2,2021-07-28 13:15:00,2021-07-28,795,False,False,0.0,0.0
2,2021-07-28 15:45:00,2021-07-28,945,False,False,0.0,0.0
2,2021-07-28 18:00:00,2021-07-28,1080,False,False,0.0,0.0
2,2021-07-29 08:30:00,2021-07-29,510,False,False,0.11764705882352941,-0.11764705882352941
2,2021-07-29 10:30:00,2021-07-29,630,False,False,0.0,0.0
2,2021-07-29 13:30:00,2021-07-29,810,False,False,0.0,0.0
2,2021-07-29 14:30:00,2021-07-29,870,False,False,0.0,0.0
2,2021-07-29 15:45:00,2021-07-29,945,False,False,0.0,0.0
2,2021-07-29 18:45:00,2021-07-29,1125,False,False,0.0,0.0
2,2021-07-29 19:45:00,2021-07-29,1185,False,False,0.0,0.0
2,2021-07-30 08:15:00,2021-07-30,495,False,False,0.17647058823529413,-0.17647058823529413
2,2021-07-30 10:30:00,2021-07-30,630,False,False,0.0,0.0
2,2021-07-30 13:15:00,2021-07-30,795,False,False,0.0,0.0
2,2021-07-30 15:45:00,2021-07-30,945,False,False,0.0,0.0
2,2021-07-30 18:00:00,2021-07-30,1080,False,False,0.0,0.0
2,2021-08-09 08:30:00,2021-08-09,510,False,False,0.11764705882352941,-0.11764705882352941
