h4_fold,peak_start,peak_slot,horizon,origin,origin_on_history_grid,origin_has_clean_power,target_in_original_horizon_score,horizon_score_fold,slot_selected_from_horizon_fold_fit,analysis_role
0,2021-05-12 11:30:00,46,96,2021-05-11 11:30:00,True,True,True,0.0,False,descriptive_coverage_only
0,2021-05-12 13:30:00,54,16,2021-05-12 09:30:00,True,True,True,0.0,False,descriptive_coverage_only
0,2021-05-12 13:30:00,54,96,2021-05-11 13:30:00,True,True,True,0.0,False,descriptive_coverage_only
0,2021-05-12 14:00:00,56,16,2021-05-12 10:00:00,True,True,True,0.0,False,descriptive_coverage_only
0,2021-05-12 14:00:00,56,96,2021-05-11 14:00:00,True,True,True,0.0,False,descriptive_coverage_only
1,2021-06-01 08:30:00,34,16,2021-06-01 04:30:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-01 08:30:00,34,96,2021-05-31 08:30:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-01 10:00:00,40,16,2021-06-01 06:00:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-01 10:00:00,40,96,2021-05-31 10:00:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-01 10:30:00,42,16,2021-06-01 06:30:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-01 10:30:00,42,96,2021-05-31 10:30:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-02 09:30:00,38,16,2021-06-02 05:30:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-02 09:30:00,38,96,2021-06-01 09:30:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-02 10:45:00,43,16,2021-06-02 06:45:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-02 10:45:00,43,96,2021-06-01 10:45:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-02 13:30:00,54,16,2021-06-02 09:30:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-02 13:30:00,54,96,2021-06-01 13:30:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-02 14:45:00,59,16,2021-06-02 10:45:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-02 14:45:00,59,96,2021-06-01 14:45:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-03 08:30:00,34,16,2021-06-03 04:30:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-03 08:30:00,34,96,2021-06-02 08:30:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-07 08:45:00,35,16,2021-06-07 04:45:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-07 08:45:00,35,96,2021-06-06 08:45:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-07 13:45:00,55,16,2021-06-07 09:45:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-07 13:45:00,55,96,2021-06-06 13:45:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-07 14:45:00,59,16,2021-06-07 10:45:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-07 14:45:00,59,96,2021-06-06 14:45:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-08 16:00:00,64,16,2021-06-08 12:00:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-08 16:00:00,64,96,2021-06-07 16:00:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-09 09:30:00,38,16,2021-06-09 05:30:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-09 09:30:00,38,96,2021-06-08 09:30:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-09 10:30:00,42,16,2021-06-09 06:30:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-09 10:30:00,42,96,2021-06-08 10:30:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-09 11:45:00,47,16,2021-06-09 07:45:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-09 11:45:00,47,96,2021-06-08 11:45:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-09 14:00:00,56,16,2021-06-09 10:00:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-09 14:00:00,56,96,2021-06-08 14:00:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-14 08:45:00,35,16,2021-06-14 04:45:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-14 08:45:00,35,96,2021-06-13 08:45:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-14 10:00:00,40,16,2021-06-14 06:00:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-14 10:00:00,40,96,2021-06-13 10:00:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-14 10:30:00,42,16,2021-06-14 06:30:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-14 10:30:00,42,96,2021-06-13 10:30:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-14 11:30:00,46,16,2021-06-14 07:30:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-14 11:30:00,46,96,2021-06-13 11:30:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-14 13:30:00,54,16,2021-06-14 09:30:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-14 13:30:00,54,96,2021-06-13 13:30:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-14 15:30:00,62,16,2021-06-14 11:30:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-14 15:30:00,62,96,2021-06-13 15:30:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-14 18:00:00,72,16,2021-06-14 14:00:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-14 18:00:00,72,96,2021-06-13 18:00:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-15 08:30:00,34,16,2021-06-15 04:30:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-15 08:30:00,34,96,2021-06-14 08:30:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-15 10:00:00,40,16,2021-06-15 06:00:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-15 10:00:00,40,96,2021-06-14 10:00:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-15 10:45:00,43,16,2021-06-15 06:45:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-15 10:45:00,43,96,2021-06-14 10:45:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-15 11:30:00,46,16,2021-06-15 07:30:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-15 11:30:00,46,96,2021-06-14 11:30:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-15 12:00:00,48,16,2021-06-15 08:00:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-15 12:00:00,48,96,2021-06-14 12:00:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-15 14:15:00,57,16,2021-06-15 10:15:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-15 14:15:00,57,96,2021-06-14 14:15:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-15 16:45:00,67,16,2021-06-15 12:45:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-15 16:45:00,67,96,2021-06-14 16:45:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-16 08:30:00,34,16,2021-06-16 04:30:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-16 08:30:00,34,96,2021-06-15 08:30:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-16 09:45:00,39,16,2021-06-16 05:45:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-16 09:45:00,39,96,2021-06-15 09:45:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-16 10:30:00,42,16,2021-06-16 06:30:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-16 10:30:00,42,96,2021-06-15 10:30:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-16 15:45:00,63,16,2021-06-16 11:45:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-16 15:45:00,63,96,2021-06-15 15:45:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-17 08:15:00,33,16,2021-06-17 04:15:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-17 08:15:00,33,96,2021-06-16 08:15:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-17 10:00:00,40,16,2021-06-17 06:00:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-17 10:00:00,40,96,2021-06-16 10:00:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-17 11:15:00,45,16,2021-06-17 07:15:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-17 11:15:00,45,96,2021-06-16 11:15:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-17 13:30:00,54,16,2021-06-17 09:30:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-17 13:30:00,54,96,2021-06-16 13:30:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-17 14:30:00,58,16,2021-06-17 10:30:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-17 14:30:00,58,96,2021-06-16 14:30:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-17 15:00:00,60,16,2021-06-17 11:00:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-17 15:00:00,60,96,2021-06-16 15:00:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-17 15:30:00,62,16,2021-06-17 11:30:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-17 15:30:00,62,96,2021-06-16 15:30:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-18 10:00:00,40,16,2021-06-18 06:00:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-18 10:00:00,40,96,2021-06-17 10:00:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-18 10:30:00,42,16,2021-06-18 06:30:00,True,True,True,1.0,False,descriptive_coverage_only
1,2021-06-18 10:30:00,42,96,2021-06-17 10:30:00,True,True,True,1.0,False,descriptive_coverage_only
