analysis,horizon,fold,day_type,slot,restart,n,peak_n,cbl_mae,lgbm_mae,error_diff_lgbm_minus_cbl
A4,16,1,workday,8,False,20,0,25.200000000000006,8.338166320646245,-16.861833679353758
A4,16,1,workday,9,False,20,0,25.016666666666666,8.704104707344857,-16.31256195932181
A4,16,1,workday,10,False,20,0,26.141666666666662,10.13250759589464,-16.00915907077203
A4,16,1,workday,11,False,20,0,25.608333333333338,10.395377681640449,-15.212955651692885
A4,16,1,workday,12,False,20,0,24.575,8.510422820429836,-16.064577179570165
A4,16,1,workday,13,False,20,0,22.158333333333335,10.493129406212974,-11.665203927120361
A4,16,1,workday,14,False,20,0,25.125000000000004,9.129603455183645,-15.995396544816359
A4,16,1,workday,15,False,20,0,26.06666666666667,11.12471488946375,-14.941951777202922
A4,16,1,workday,16,False,20,0,25.333333333333336,8.577003088734122,-16.75633024459922
A4,16,1,workday,17,False,20,0,24.558333333333334,7.414799308106995,-17.143534025226337
A4,16,1,workday,18,False,20,0,22.575000000000003,4.959085904004454,-17.615914095995553
A4,16,1,workday,19,False,20,0,23.375,6.424861212786752,-16.95013878721325
A4,16,1,workday,20,False,20,0,22.208333333333332,5.7356369417876305,-16.472696391545703
A4,16,1,workday,21,False,20,0,18.525,7.5415113611407225,-10.983488638859276
A4,16,1,workday,22,False,20,0,16.633333333333333,6.081638019482349,-10.551695313850983
A4,16,1,workday,23,False,20,0,20.15,5.59528871118704,-14.554711288812957
A4,16,1,workday,24,False,20,0,24.300000000000004,6.960968375818348,-17.33903162418165
A4,16,1,workday,25,False,20,0,25.98333333333333,8.611090646568817,-17.372242686764515
A4,16,1,workday,26,False,20,0,24.275,6.4387985681631275,-17.836201431836873
A4,16,1,workday,27,False,20,0,24.325000000000003,7.444212847900095,-16.880787152099906
A4,16,1,workday,28,False,20,0,25.28333333333333,9.24414593324634,-16.039187400086995
A4,16,1,workday,29,False,20,0,26.09166666666666,9.527484724351819,-16.564181942314843
A4,16,1,workday,30,False,20,0,26.025,12.661264607485675,-13.36373539251432
A4,16,1,workday,31,False,19,0,24.473684210526315,15.965959088527336,-8.507725121998979
A4,16,1,workday,31,True,1,0,63.66666666666666,2.409654142702877,-61.25701252396378
A4,16,1,workday,32,False,19,0,18.69298245614035,17.57245074003822,-1.1205317161021295
A4,16,1,workday,32,True,1,0,38.66666666666666,4.711610759186286,-33.95505590748037
