factor,value,n,mae,mean_residual,events,fn,fp,recall,fp_rate,mae_ci_low,mae_ci_high,recall_ci_low,recall_ci_high,fp_rate_ci_low,fp_rate_ci_high
weekday,Friday,480,8.683385053019451,0.6399814909758668,76,18,50,0.7631578947368421,0.12376237623762376,7.051773424469941,11.443272671521164,0.6666666666666666,0.8490566037735849,0.06925207756232687,0.16317016317016317
weekday,Monday,533,12.126842379183596,2.0888493272716175,78,34,47,0.5641025641025641,0.10329670329670329,8.24890748755683,17.570406428262118,0.25757575757575757,0.8507462686567164,0.06403940886699508,0.13592233009708737
weekday,Saturday,480,11.78590475340201,-8.78355288292592,0,0,2,,0.004166666666666667,5.510226724390844,22.0169169235552,,,0.0,0.0125
weekday,Sunday,480,3.800358759009146,-2.921199450788204,0,0,0,,0.0,1.4966322608562774,8.326618364465551,,,0.0,0.0
weekday,Thursday,480,8.54123975345765,2.8713742333599153,75,26,47,0.6533333333333333,0.11604938271604938,7.602229003364133,9.712790224542768,0.38461538461538464,0.801980198019802,0.07859078590785908,0.16461916461916462
weekday,Tuesday,576,9.334625517867824,2.2241122748657456,68,19,54,0.7205882352941176,0.1062992125984252,7.487578499659225,12.1571602065875,0.46808510638297873,0.8219779711218066,0.0807517793594306,0.13193116634799235
weekday,Wednesday,481,10.424394654223304,2.1116723695847566,75,22,41,0.7066666666666667,0.10098522167487685,7.809764754666463,12.981517344518533,0.4908585858585859,0.8191489361702128,0.09448709536307962,0.10828025477707007
hour,0,145,5.734853569191384,0.21189205205068296,0,0,0,,0.0,4.496268655251431,7.208724956070236,,,0.0,0.0
hour,1,144,5.429704252370958,-1.3455594164423994,0,0,0,,0.0,4.095579396227303,7.013363997811519,,,0.0,0.0
hour,2,144,5.521700838677053,1.1036810385582636,0,0,0,,0.0,4.011677084381455,7.200454567836749,,,0.0,0.0
hour,3,144,6.265750918455195,-0.8558687059835148,0,0,0,,0.0,4.910443085323018,7.911908692800103,,,0.0,0.0
hour,4,144,6.111606536122347,0.16157917439327324,0,0,0,,0.0,4.723382732552764,7.743535079467233,,,0.0,0.0
hour,5,144,6.082977312499091,-3.566896409193807,0,0,0,,0.0,4.835229083622155,7.486079295161636,,,0.0,0.0
hour,6,144,5.432369397221332,-0.7456131500610573,0,0,0,,0.0,4.170014398856074,7.0019389550328635,,,0.0,0.0
hour,7,144,9.300974147075712,-0.14462909479934596,0,0,0,,0.0,7.351306982751229,11.574902486695764,,,0.0,0.0
hour,8,144,15.761445992945978,2.720321934228085,36,8,23,0.7777777777777778,0.21296296296296297,11.701741681957735,20.459204259990347,0.6206486042692939,0.9090909090909091,0.12631323454266735,0.30696575907590756
hour,9,144,12.703698367881007,0.7925609053824777,48,13,33,0.7291666666666667,0.34375,10.082101794058131,15.656342220253562,0.592550505050505,0.8421052631578947,0.20688718140929535,0.5057133771464913
hour,10,145,11.759955900447002,-1.8359499585466708,43,7,34,0.8372093023255813,0.3333333333333333,8.569105120802197,15.662526882597259,0.6956219806763285,0.9545454545454546,0.20335827623512442,0.47058823529411764
hour,11,148,11.371062905417002,1.9272161839901747,59,12,26,0.7966101694915254,0.29213483146067415,7.961392329364798,15.945513312567956,0.6530225726654297,0.9114017125837677,0.16513538790415963,0.447950634057971
hour,12,148,12.015181579030454,-3.8250020232765864,17,2,7,0.8823529411764706,0.05343511450381679,7.765463255494461,17.271929208696893,0.7058823529411765,1.0,0.022900763358778626,0.08825163398692809
hour,13,148,12.127269932054947,-0.3949593919809936,27,6,37,0.7777777777777778,0.30578512396694213,8.095430675778008,17.52532725439796,0.5882352941176471,0.9677908113391984,0.20511811023622045,0.4118364418938306
hour,14,148,11.712804994608067,4.93729943694055,60,18,22,0.7,0.25,7.926211079337185,16.257785782730892,0.5510204081632653,0.8235492845786963,0.15068124907939312,0.3766280820628647
hour,15,148,11.914907259397578,-0.17707664890368263,33,11,23,0.6666666666666667,0.2,8.526849089827495,16.10595924835462,0.4358108108108108,0.9000806451612903,0.1052525466893039,0.30192158985462414
hour,16,148,12.886519068416154,3.1545828040631325,35,29,16,0.17142857142857137,0.1415929203539823,8.632543040197033,18.32075623909155,0.05878151260504202,0.3076923076923077,0.06606280991735537,0.21670454545454543
hour,17,148,11.531771852577968,-4.611564380255801,3,2,7,0.33333333333333337,0.04827586206896552,8.105080187930858,15.766667304453348,0.0,1.0,0.013888888888888888,0.0896551724137931
hour,18,148,13.205843394682448,-0.5554778527367271,10,10,12,0.0,0.08695652173913043,8.695600618912106,18.63769371549382,0.0,0.0,0.0357079533941236,0.1439615987460815
hour,19,148,9.919772320506382,1.2848901768521908,1,1,1,0.0,0.006802721088435374,7.309583064494803,13.059631723317663,0.0,0.0,0.0,0.020689655172413793
hour,20,148,7.824765603995877,-0.44166984176833,0,0,0,,0.0,5.940929826916933,10.12632299590606,,,0.0,0.0
hour,21,148,6.272387996763815,1.2781189975199203,0,0,0,,0.0,4.595341491056933,8.13150523344142,,,0.0,0.0
hour,22,148,6.150269841330928,-1.5654604070143225,0,0,0,,0.0,4.823687938130777,7.490607229970661,,,0.0,0.0
hour,23,148,5.5748171508070286,-1.121715893205063,0,0,0,,0.0,4.078857778379264,7.207182857830464,,,0.0,0.0
