score,auroc,auroc_ci_low,auroc_ci_high,pr_auc,pr_auc_ci_low,pr_auc_ci_high
AI2_to_AI0,0.8956349206349207,0.7803125000000001,1.0,0.8719789839039122,0.7413642621519496,1.0
AI2_to_AI1,0.8938492063492063,0.7882837301587302,0.9787847222222221,0.7861811670080345,0.6183549422826249,0.9298270109253922
AI0_to_AI1,0.9162698412698412,0.7944246031746033,1.0,0.8781414915007655,0.7471373784030956,1.0
combined,0.9073412698412698,0.7876388888888889,1.0,0.8748717873717876,0.7101489997254634,1.0
