horizon,incumbent_model,candidate_model,fold,n_peak,incumbent_peak_mae,candidate_peak_mae,peak_mae_gain
4,lgbm_no_holiday_weight_2,lgbm_residual_cbl,0,50,19.327745166314184,15.95451359656116,3.3732315697530244
4,lgbm_no_holiday_weight_2,lgbm_residual_cbl,1,140,10.227094355013332,10.854764750376116,-0.6276703953627815
4,lgbm_no_holiday_weight_2,lgbm_residual_cbl,2,235,15.915472569194367,25.860796437279422,-9.945323868085053
16,c3_holiday_hybrid,lgbm_residual_cbl,0,50,23.76,68.56988146111625,-44.809881461116255
16,c3_holiday_hybrid,lgbm_residual_cbl,1,140,17.74404761904762,17.238274160061774,0.5057734589858471
16,c3_holiday_hybrid,lgbm_residual_cbl,2,235,12.017021276595745,10.908944233545649,1.1080770430500955
96,c3_holiday_hybrid,lgbm_residual_cbl,0,44,26.803030303030308,39.35171616433529,-12.548685861304987
96,c3_holiday_hybrid,lgbm_residual_cbl,1,140,18.213095238095235,22.48064961476142,-4.267554376666182
96,c3_holiday_hybrid,lgbm_residual_cbl,2,185,13.236936936936935,19.909811580344947,-6.672874643408009
