analysis_id,hypothesis_id,horizon,model,effect,estimate,ci_low,ci_high,p_raw,fold_effects,n_positive_folds,bootstrap_valid_draws,n_top,n_top_last_fold,b_top_coverage,candidate_top_coverage,b_pinball,candidate_pinball,eligible,null_value,selection_used
M4,M4_h16_q95_aci_005_top_coverage_error_improvement,16,q95_aci_005,top_coverage_error_improvement,-0.04134366925064603,-0.06677763139321505,-0.012202059202059167,0.999000999000999,"{""0"": 0.0, ""1"": -0.034965034965035, ""2"": -0.08056872037914686}",0,1000,774,211,0.91343669250646,0.872093023255814,3.3518347740763086,3.3802501940802103,True,0.0,False
M4,M4_h16_q95_aci_005_pinball_allowance,16,q95_aci_005,pinball_allowance,0.13917631869991398,0.11376124659609042,0.16301328193135256,0.000999000999000999,"{""0"": 0.18040879625626652, ""1"": 0.09343091426772597, ""2"": 0.14522975843365765}",3,1000,774,211,0.91343669250646,0.872093023255814,3.3518347740763086,3.3802501940802103,True,0.0,False
M4,M4_h16_q95_aci_005_last_fold_top_coverage_improvement,16,q95_aci_005,last_fold_top_coverage_improvement,-0.08056872037914686,-0.15096128051506758,0.008084142163859524,0.983016983016983,"{""0"": 0.0, ""1"": -0.034965034965035, ""2"": -0.08056872037914686}",0,1000,774,211,0.91343669250646,0.872093023255814,3.3518347740763086,3.3802501940802103,True,0.0,False
M4,M4_h16_q95_aci_010_top_coverage_error_improvement,16,q95_aci_010,top_coverage_error_improvement,-0.04780361757105944,-0.07018316716902388,-0.02461623224683023,1.0,"{""0"": -0.011940298507462588, ""1"": -0.030303030303030276, ""2"": -0.09952606635071082}",0,1000,774,211,0.91343669250646,0.8656330749354005,3.3518347740763086,3.3737416764485255,True,0.0,False
M4,M4_h16_q95_aci_010_pinball_allowance,16,q95_aci_010,pinball_allowance,0.14568483633159854,0.1170419029139632,0.1732044479250037,0.000999000999000999,"{""0"": 0.18925135343362615, ""1"": 0.0952057788907248, ""2"": 0.15495701101990214}",3,1000,774,211,0.91343669250646,0.8656330749354005,3.3518347740763086,3.3737416764485255,True,0.0,False
M4,M4_h16_q95_aci_010_last_fold_top_coverage_improvement,16,q95_aci_010,last_fold_top_coverage_improvement,-0.09952606635071082,-0.15596422018348619,-0.033501236376957684,0.999000999000999,"{""0"": -0.02238805970149249, ""1"": -0.030303030303030276, ""2"": -0.09952606635071082}",0,1000,774,211,0.91343669250646,0.8656330749354005,3.3518347740763086,3.3737416764485255,True,0.0,False
M4,M4_h16_q95_aci_050_top_coverage_error_improvement,16,q95_aci_050,top_coverage_error_improvement,-0.04780361757105944,-0.06866736420078923,-0.02249744729907781,1.0,"{""0"": -0.03432835820895519, ""1"": -0.030303030303030276, ""2"": -0.08530805687203791}",0,1000,774,211,0.91343669250646,0.8656330749354005,3.3518347740763086,3.3717398427582506,True,0.0,False
M4,M4_h16_q95_aci_050_pinball_allowance,16,q95_aci_050,pinball_allowance,0.14768667002187347,0.11566570285753137,0.18019106510225164,0.000999000999000999,"{""0"": 0.16710459074049222, ""1"": 0.09673816991892618, ""2"": 0.18998038922550867}",3,1000,774,211,0.91343669250646,0.8656330749354005,3.3518347740763086,3.3717398427582506,True,0.0,False
M4,M4_h16_q95_aci_050_last_fold_top_coverage_improvement,16,q95_aci_050,last_fold_top_coverage_improvement,-0.08530805687203791,-0.12888966318234604,-0.029921543773766365,1.0,"{""0"": -0.04477611940298509, ""1"": -0.030303030303030276, ""2"": -0.08530805687203791}",0,1000,774,211,0.91343669250646,0.8656330749354005,3.3518347740763086,3.3717398427582506,True,0.0,False
M4,M4_h16_q95_rolling_672_top_coverage_error_improvement,16,q95_rolling_672,top_coverage_error_improvement,-0.054263565891472854,-0.08111526366715048,-0.026050620378105727,1.0,"{""0"": -0.014925373134328401, ""1"": -0.037296037296037254, ""2"": -0.1327014218009478}",0,1000,774,211,0.91343669250646,0.8591731266149871,3.3518347740763086,3.371718379367123,True,0.0,False
